resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,3,128,1024,800.0,os,8575335.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,44116800.0,37464000.0,432000.0,6220800.0,12877056.0,186624000.0,2187000.0,72576000.0,261387000.0,5994240000.0,69120000.0,995328000.0,7058688000.0,7332952056.0,0.0034171875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.575334999999999,16384,140498288640.0,0.0,7.332952056,62.88252041913875,0.21998856168,100,True,0.07332952056
1080p,1920,1080,128,128,3,128,1024,200.0,os,8738610.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,43906800.0,37362000.0,324000.0,6220800.0,12877056.0,186624000.0,2187000.0,72576000.0,261387000.0,5977920000.0,51840000.0,995328000.0,7025088000.0,7299352056.0,0.010368,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.738610000000001,16384,143173386240.0,0.0,7.299352056,63.78619087008217,0.21898056168,100,True,0.07299352056
1080p,1920,1080,128,128,3,64,1024,200.0,os,8965410.0,0.0,55987200,52714800.0,37324800.0,874800.0,14515200.0,43744800.0,37362000.0,162000.0,6220800.0,12877056.0,186624000.0,4374000.0,72576000.0,263574000.0,5977920000.0,25920000.0,995328000.0,6999168000.0,7275619056.0,0.01366875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.96541,4096,36722319360.0,0.0,7.275619056,65.22890784085297,0.21826857168,100,True,0.07275619056
1080p,1920,1080,128,128,3,32,1024,200.0,os,9419010.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43690800.0,37362000.0,108000.0,6220800.0,12877056.0,186624000.0,8748000.0,72576000.0,267948000.0,5977920000.0,17280000.0,995328000.0,6990528000.0,7271353056.0,0.054675,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9.41901,1024,9645066240.0,0.0,7.271353056,68.48894714799455,0.21814059168,100,True,0.07271353056
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,12877056.0,186624000.0,8748000.0,72576000.0,267948000.0,5973840000.0,12960000.0,995328000.0,6982128000.0,7262953056.0,0.054675,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,10.072335,1024,10314071040.0,0.0,7.262953056,73.15489626930577,0.21788859168,100,True,0.07262953056
1080p,1920,1080,128,128,3,16,256,800.0,ws,4186905.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52612800.0,46176000.0,216000.0,6220800.0,12877056.0,186624000.0,18225.0,31104000.0,217746225.0,7388160000.0,34560000.0,995328000.0,8418048000.0,8648671281.0,0.2187,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4.186905,256,1071847680.0,0.0,8.648671281,36.21116502977531,0.25946013843,200,True,0.043243356405
1080p,1920,1080,128,128,3,16,256,200.0,ws,4269870.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52294800.0,46020000.0,54000.0,6220800.0,12877056.0,186624000.0,18225.0,31104000.0,217746225.0,7363200000.0,8640000.0,995328000.0,8367168000.0,8597791281.0,0.2187,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4.26987,256,1093086720.0,0.0,8.597791281,36.711451057003465,0.25793373843,200,True,0.042988956405
1080p,1920,1080,128,128,3,16,256,50.0,ws,4601685.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52203300.0,45942000.0,40500.0,6220800.0,12877056.0,186624000.0,18225.0,31104000.0,217746225.0,7350720000.0,6480000.0,995328000.0,8352528000.0,8583151281.0,0.2187,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4.601685000000001,256,1178031360.0,0.0,8.583151281,39.496958502508484,0.25749453843,200,True,0.042915756405
1080p,1920,1080,128,128,3,128,1024,800.0,os,8575335.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,44116800.0,37464000.0,432000.0,6220800.0,12877056.0,186624000.0,2187000.0,72576000.0,261387000.0,5994240000.0,69120000.0,995328000.0,7058688000.0,7332952056.0,0.0034171875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.575334999999999,16384,140498288640.0,0.0,7.332952056,62.88252041913875,0.21998856168,200,True,0.03666476028
1080p,1920,1080,128,128,3,128,1024,200.0,os,8738610.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,43906800.0,37362000.0,324000.0,6220800.0,12877056.0,186624000.0,2187000.0,72576000.0,261387000.0,5977920000.0,51840000.0,995328000.0,7025088000.0,7299352056.0,0.010368,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.738610000000001,16384,143173386240.0,0.0,7.299352056,63.78619087008217,0.21898056168,200,True,0.03649676028
1080p,1920,1080,128,128,3,64,1024,200.0,os,8965410.0,0.0,55987200,52714800.0,37324800.0,874800.0,14515200.0,43744800.0,37362000.0,162000.0,6220800.0,12877056.0,186624000.0,4374000.0,72576000.0,263574000.0,5977920000.0,25920000.0,995328000.0,6999168000.0,7275619056.0,0.01366875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.96541,4096,36722319360.0,0.0,7.275619056,65.22890784085297,0.21826857168,200,True,0.03637809528
