resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,tile_out_width,tile_out_height,tile_count,stage,stage_op,stage_m,stage_n,stage_k,stage_macs_per_tile,stage_input_pixels_with_halo,stage_output_pixels,cycles_per_tile,compute_cycles_per_tile,stall_cycles_per_tile,scaled_cycles,scaled_stall_cycles,scaled_macs,scaled_sram_accesses,scaled_sram_ifmap_reads,scaled_sram_filter_reads,scaled_sram_ofmap_writes,scaled_dram_accesses,scaled_dram_ifmap_reads,scaled_dram_filter_reads,scaled_dram_ofmap_writes,overall_util_pct,mapping_efficiency_pct,compute_util_pct,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,energy_total_mj
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,128,128,50,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,98495.0,93695.0,0.0,4924750.0,0.0,99123200,104678400.0,99123200.0,3097600.0,2457600.0,142589200.0,141570000.0,200000.0,819200.0,2.066278883611719,3.125,2.0662568306011093,0.12510000000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,22798336.0,495616000.0,15488000.0,12288000.0,523392000.0,22651200000.0,32000000.0,131072000.0,22814272000.0,23360462336.0,23.360462336
720p,1280,720,128,128,11,32,4096,200.0,os,run_0041fee95ad8,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,37252.0,36351.0,0.0,1862600.0,0.0,14745600,11110400.0,7372800.0,460800.0,3276800.0,9038400.0,7380000.0,20000.0,1638400.0,0.7922753156721961,6.25,0.7922535211267545,0.12510000000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,2304000.0,16384000.0,55552000.0,1180800000.0,3200000.0,262144000.0,1446144000.0,1505087488.0,1.505087488
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,128,128,120,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,98495.0,93695.0,0.0,11819400.0,0.0,237895680,251228160.0,237895680.0,7434240.0,5898240.0,342214080.0,339768000.0,480000.0,1966080.0,2.066278883611719,3.125,2.0662568306011093,0.281475,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,54716006.400000006,1189478400.0,37171200.0,29491200.0,1256140800.0,54362880000.0,76800000.0,314572800.0,54754252800.0,56065109606.4,56.0651096064
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_0041fee95ad8,5d4b63efe916,015661272f33,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,37252.0,36351.0,0.0,4470240.0,0.0,35389440,26664960.0,17694720.0,1105920.0,7864320.0,21692160.0,17712000.0,48000.0,3932160.0,0.7922753156721961,6.25,0.7922535211267545,0.281475,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,5529600.0,39321600.0,133324800.0,2833920000.0,7680000.0,629145600.0,3470745600.0,3612209971.2,3.6122099712
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,128,128,256,gaussian_k11,gaussian,16384,1,121,1982464,19044,16384,98495.0,93695.0,0.0,25214720.0,0.0,507510784,535953408.0,507510784.0,15859712.0,12582912.0,730056704.0,724838400.0,1024000.0,4194304.0,2.066278883611719,3.125,2.0662568306011093,0.569344,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,116727480.32000001,2537553920.0,79298560.0,62914560.0,2679767040.0,115974144000.0,163840000.0,671088640.0,116809072640.0,119605567160.32,119.60556716032
hires,2048,2048,128,128,11,32,4096,200.0,os,run_0041fee95ad8,c9d25d550338,015661272f33,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,37252.0,36351.0,0.0,9536512.0,0.0,75497472,56885248.0,37748736.0,2359296.0,16777216.0,46276608.0,37785600.0,102400.0,8388608.0,0.7922753156721961,6.25,0.7922535211267545,0.569344,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,11796480.0,83886080.0,284426240.0,6045696000.0,16384000.0,1342177280.0,7404257280.0,7706047938.56,7.70604793856
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,128,80,10,gaussian_k11,gaussian,10240,1,121,1239040,12420,10240,10929.0,10621.0,0.0,109290.0,0.0,12390400,12494010.0,12390400.0,1210.0,102400.0,14470400.0,14208000.0,160000.0,102400.0,0.7120327652763393,0.738525390625,0.7035538189599033,0.007818750000000001,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,2849792.0,61952000.0,6050.0,512000.0,62470050.0,2273280000.0,25600000.0,16384000.0,2315264000.0,2380583842.0,2.380583842
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,128,80,10,sobel_3x3,sobel,10240,2,9,184320,10660,10240,10942.0,10621.0,0.0,109420.0,0.0,1843200,1126580.0,921600.0,180.0,204800.0,2588800.0,2368000.0,16000.0,204800.0,0.1059222295452405,0.10986328125,0.10466089868825,0.007818750000000001,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,423936.0,4608000.0,900.0,1024000.0,5632900.0,378880000.0,2560000.0,32768000.0,414208000.0,420264836.0,0.420264836
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,128,128,50,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,77419.0,65623.0,0.0,3870950.0,0.0,20480000,23758050.0,20480000.0,1250.0,3276800.0,29501800.0,26215000.0,10000.0,3276800.0,9.752678176858725,9.765625,9.748370194358133,0.6192,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4710400.0,102400000.0,6250.0,16384000.0,118790250.0,4194400000.0,1600000.0,524288000.0,4720288000.0,4843788650.0,4.84378865
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,128,128,50,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39364.0,32811.0,0.0,1968200.0,0.0,14745600,10650500.0,7372800.0,900.0,3276800.0,16389300.0,13107500.0,5000.0,3276800.0,14.044070586083937,14.0625,14.037653079875708,0.6192,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,3391488.0,36864000.0,4500.0,16384000.0,53252500.0,2097200000.0,800000.0,524288000.0,2622288000.0,2678931988.0,2.678931988
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,128,128,120,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,77419.0,65623.0,0.0,9290280.0,0.0,49152000,57019320.0,49152000.0,3000.0,7864320.0,70804320.0,62916000.0,24000.0,7864320.0,9.752678176858725,9.765625,9.748370194358133,1.3932,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11304960.0,245760000.0,15000.0,39321600.0,285096600.0,10066560000.0,3840000.0,1258291200.0,11328691200.0,11625092760.0,11.62509276
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,128,128,120,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39364.0,32811.0,0.0,4723680.0,0.0,35389440,25561200.0,17694720.0,2160.0,7864320.0,39334320.0,31458000.0,12000.0,7864320.0,14.044070586083937,14.0625,14.037653079875708,1.3932,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8139571.2,88473600.0,10800.0,39321600.0,127806000.0,5033280000.0,1920000.0,1258291200.0,6293491200.0,6429436771.2,6.4294367712
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,128,128,256,gaussian_k5,gaussian,16384,1,25,409600,17424,16384,77419.0,65623.0,0.0,19819264.0,0.0,104857600,121641216.0,104857600.0,6400.0,16777216.0,151049216.0,134220800.0,51200.0,16777216.0,9.752678176858725,9.765625,9.748370194358133,2.818048,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,24117248.0,524288000.0,32000.0,83886080.0,608206080.0,21475328000.0,8192000.0,2684354560.0,24167874560.0,24800197888.0,24.800197888
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,128,128,256,sobel_3x3,sobel,16384,2,9,294912,16900,16384,39364.0,32811.0,0.0,10077184.0,0.0,75497472,54530560.0,37748736.0,4608.0,16777216.0,83913216.0,67110400.0,25600.0,16777216.0,14.044070586083937,14.0625,14.037653079875708,2.818048,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,17364418.560000002,188743680.0,23040.0,83886080.0,272652800.0,10737664000.0,4096000.0,2684354560.0,13426114560.0,13716131778.56,13.71613177856
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,128,56,15,gaussian_k11,gaussian,7168,1,121,867328,9108,7168,45363.0,40991.0,0.0,680445.0,0.0,13009920,13739040.0,13009920.0,406560.0,322560.0,13178520.0,13011000.0,60000.0,107520.0,2.0663072381742333,3.125,2.0662568306010884,0.281475,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,2992281.6,65049600.0,2032800.0,1612800.0,68695200.0,2081760000.0,9600000.0,17203200.0,2108563200.0,2180250681.6,2.1802506816
1080p,1920,1080,128,128,11,32,4096,200.0,os,run_00c45888ec65,3cafcace4a35,00c45888ec65,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16297.0,15903.0,0.0,244455.0,0.0,1935360,1458240.0,967680.0,60480.0,430080.0,1190040.0,969000.0,6000.0,215040.0,0.7923033389926429,6.25,0.7922535211267571,0.281475,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,302400.0,2150400.0,7291200.0,155040000.0,960000.0,34406400.0,190406400.0,198142732.8,0.1981427328
1080p,1920,1080,128,128,7,32,4096,200.0,os,run_010d849010b2,c723844cd74a,010d849010b2,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,26655.0,24863.0,0.0,399825.0,0.0,5268480,5755680.0,5268480.0,164640.0,322560.0,5402520.0,5271000.0,24000.0,107520.0,1.379559988738286,3.125,1.3795045045045031,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1211750.4000000001,26342400.0,823200.0,1612800.0,28778400.0,843360000.0,3840000.0,17203200.0,864403200.0,894393350.4,0.8943933504
1080p,1920,1080,128,128,7,32,4096,200.0,os,run_010d849010b2,c723844cd74a,010d849010b2,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16297.0,15903.0,0.0,244455.0,0.0,1935360,1458240.0,967680.0,60480.0,430080.0,1190040.0,969000.0,6000.0,215040.0,0.7923033389926429,6.25,0.7922535211267571,0.13567500000000002,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,302400.0,2150400.0,7291200.0,155040000.0,960000.0,34406400.0,190406400.0,198142732.8,0.1981427328
1080p,1920,1080,128,128,7,128,4096,50.0,os,run_0138c7f7e3c9,fc79596e18ca,0138c7f7e3c9,bottom_edge,128,56,15,gaussian_k7,gaussian,7168,1,49,351232,8308,7168,24135.0,16967.0,0.0,362025.0,0.0,5268480,5632200.0,5268480.0,41160.0,322560.0,5470770.0,5268750.0,94500.0,107520.0,0.1263482053397772,0.78125,0.1263407590759075,0.041472,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,1211750.4000000001,26342400.0,205800.0,1612800.0,28161000.0,843000000.0,15120000.0,17203200.0,875323200.0,904695950.4,0.9046959504
1080p,1920,1080,128,128,7,128,4096,50.0,os,run_0138c7f7e3c9,fc79596e18ca,0138c7f7e3c9,bottom_edge,128,56,15,sobel_3x3,sobel,7168,2,9,129024,7540,7168,16304.0,14727.0,0.0,244560.0,0.0,1935360,1412880.0,967680.0,15120.0,430080.0,1201290.0,968250.0,18000.0,215040.0,0.0534732124668975,1.5625,0.0534695817490493,0.041472,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,445132.80000000005,4838400.0,75600.0,2150400.0,7064400.0,154920000.0,2880000.0,34406400.0,192206400.0,199715932.8,0.19971593280000002
