resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,sram_energy_source,sram_energy_table,sram_read_pj_per_byte,sram_write_pj_per_byte,sram_access_bytes,sram_technology_nm,sram_access_time_ns,sram_cycle_time_ns,sram_leakage_mw,sram_area_mm2,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,3,16,256,50.0,ws,4601685.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52203300.0,45942000.0,40500.0,6220800.0,12877056.0,245861256.96,24009.888375000002,28667623.68,274552890.528375,7350720000.0,6480000.0,995328000.0,8352528000.0,8639957946.528374,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.601685000000001,0.0,8.639957946528373,39.75836488317042,0.25919873839585117,100,True,0.08639957946528373
1080p,1920,1080,128,128,3,128,1024,800.0,os,8575335.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,44116800.0,37464000.0,432000.0,6220800.0,12877056.0,385319773.44000006,4515466.095,128448270.72,518283510.25500005,5994240000.0,69120000.0,995328000.0,7058688000.0,7589848566.255,0.0034171875,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,8.575334999999999,0.0,7.589848566255,65.08549405490632,0.22769545698764998,100,True,0.07589848566255
1080p,1920,1080,128,128,3,128,1024,200.0,os,8738610.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,43906800.0,37362000.0,324000.0,6220800.0,12877056.0,385319773.44000006,4515466.095,128448270.72,518283510.25500005,5977920000.0,51840000.0,995328000.0,7025088000.0,7556248566.255,0.010368,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,8.738610000000001,0.0,7.556248566255,66.03110928356162,0.22668745698765,100,True,0.07556248566255
1080p,1920,1080,128,128,3,64,1024,200.0,os,8965410.0,0.0,55987200,52714800.0,37324800.0,874800.0,14515200.0,43744800.0,37362000.0,162000.0,6220800.0,12877056.0,385319773.44000006,9030932.190000001,128448270.72000001,522798976.35,5977920000.0,25920000.0,995328000.0,6999168000.0,7534844032.35,0.01366875,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,8.96541,0.0,7.5348440323500006,67.55296603607103,0.2260453209705,100,True,0.0753484403235
1080p,1920,1080,128,128,3,64,1024,50.0,os,9618735.0,0.0,55987200,52714800.0,37324800.0,874800.0,14515200.0,43719300.0,37336500.0,162000.0,6220800.0,12877056.0,385319773.44000006,9030932.19,128448270.72,522798976.35,5973840000.0,25920000.0,995328000.0,6995088000.0,7530764032.35,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,9.618735,0.0,7.5307640323500005,72.43642357470607,0.2259229209705,100,True,0.0753076403235
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,12877056.0,385319773.44000006,18061864.380000003,128448270.72000001,531829908.5400001,5973840000.0,12960000.0,995328000.0,6982128000.0,7526834964.54,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,10.072335,0.0,7.52683496454,75.81280325256,0.22580504893620001,100,True,0.0752683496454
1080p,1920,1080,128,128,3,16,256,800.0,ws,4186905.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52612800.0,46176000.0,216000.0,6220800.0,12877056.0,245861256.96,24009.888375000002,28667623.68,274552890.528375,7388160000.0,34560000.0,995328000.0,8418048000.0,8705477946.528374,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.186905,0.0,8.705477946528374,36.44900914170938,0.2611643383958512,200,True,0.04352738973264187
1080p,1920,1080,128,128,3,16,256,200.0,ws,4269870.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52294800.0,46020000.0,54000.0,6220800.0,12877056.0,245861256.96,24009.888375000002,28667623.679999996,274552890.52837497,7363200000.0,8640000.0,995328000.0,8367168000.0,8654597946.528374,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.26987,0.0,8.654597946528373,36.954008133943105,0.2596379383958512,200,True,0.04327298973264187
1080p,1920,1080,128,128,3,16,256,50.0,ws,4601685.0,0.0,55987200,43549245.0,37324800.0,3645.0,6220800.0,52203300.0,45942000.0,40500.0,6220800.0,12877056.0,245861256.96,24009.888375000002,28667623.68,274552890.528375,7350720000.0,6480000.0,995328000.0,8352528000.0,8639957946.528374,0.2187,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.601685000000001,0.0,8.639957946528373,39.75836488317042,0.25919873839585117,200,True,0.043199789732641866
1080p,1920,1080,128,128,3,128,1024,800.0,os,8575335.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,44116800.0,37464000.0,432000.0,6220800.0,12877056.0,385319773.44000006,4515466.095,128448270.72,518283510.25500005,5994240000.0,69120000.0,995328000.0,7058688000.0,7589848566.255,0.0034171875,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,8.575334999999999,0.0,7.589848566255,65.08549405490632,0.22769545698764998,200,True,0.037949242831275
1080p,1920,1080,128,128,3,128,1024,200.0,os,8738610.0,0.0,55987200,52277400.0,37324800.0,437400.0,14515200.0,43906800.0,37362000.0,324000.0,6220800.0,12877056.0,385319773.44000006,4515466.095,128448270.72,518283510.25500005,5977920000.0,51840000.0,995328000.0,7025088000.0,7556248566.255,0.010368,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,8.738610000000001,0.0,7.556248566255,66.03110928356162,0.22668745698765,200,True,0.037781242831275
1080p,1920,1080,128,128,3,64,1024,200.0,os,8965410.0,0.0,55987200,52714800.0,37324800.0,874800.0,14515200.0,43744800.0,37362000.0,162000.0,6220800.0,12877056.0,385319773.44000006,9030932.190000001,128448270.72000001,522798976.35,5977920000.0,25920000.0,995328000.0,6999168000.0,7534844032.35,0.01366875,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,8.96541,0.0,7.5348440323500006,67.55296603607103,0.2260453209705,200,True,0.03767422016175
1080p,1920,1080,128,128,3,64,1024,50.0,os,9618735.0,0.0,55987200,52714800.0,37324800.0,874800.0,14515200.0,43719300.0,37336500.0,162000.0,6220800.0,12877056.0,385319773.44000006,9030932.19,128448270.72,522798976.35,5973840000.0,25920000.0,995328000.0,6995088000.0,7530764032.35,0.041472,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,9.618735,0.0,7.5307640323500005,72.43642357470607,0.2259229209705,200,True,0.03765382016175
1080p,1920,1080,128,128,3,32,1024,50.0,os,10072335.0,0.0,55987200,53589600.0,37324800.0,1749600.0,14515200.0,43638300.0,37336500.0,81000.0,6220800.0,12877056.0,385319773.44000006,18061864.380000003,128448270.72000001,531829908.5400001,5973840000.0,12960000.0,995328000.0,6982128000.0,7526834964.54,0.054675,accelergy,cacti,configs/cacti_sram_45nm.csv,10.323425,8.849225,4,45.0,2.03065,0.431177,1188.88,3.192179885,160.0,160.0,10.072335,0.0,7.52683496454,75.81280325256,0.22580504893620001,200,True,0.0376341748227
1080p,1920,1080,128,128,5,32,256,800.0,ws,4199865.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82804800.0,76368000.0,216000.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12218880000.0,34560000.0,995328000.0,13248768000.0,13762386362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.199865,0.0,13.762386362130375,57.800164798788686,0.41287159086391123,33,True,0.4170420109736478
1080p,1920,1080,128,128,5,32,256,200.0,ws,4282830.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82492800.0,76110000.0,162000.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12177600000.0,25920000.0,995328000.0,13198848000.0,13712466362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.28283,0.0,13.712466362130375,58.728162309722826,0.41137399086391124,33,True,0.41552928370092046
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12156960000.0,23760000.0,995328000.0,13176048000.0,13689666362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.614644999999999,0.0,13.689666362130374,63.172950429673115,0.4106899908639113,33,True,0.41483837461001133
1080p,1920,1080,128,128,5,32,256,800.0,ws,4199865.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82804800.0,76368000.0,216000.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12218880000.0,34560000.0,995328000.0,13248768000.0,13762386362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.199865,0.0,13.762386362130375,57.800164798788686,0.41287159086391123,100,True,0.13762386362130374
1080p,1920,1080,128,128,5,32,256,200.0,ws,4282830.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82492800.0,76110000.0,162000.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12177600000.0,25920000.0,995328000.0,13198848000.0,13712466362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.28283,0.0,13.712466362130375,58.728162309722826,0.41137399086391124,100,True,0.13712466362130374
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,20507904.0,464404596.48,38237.970375000004,28667623.679999996,493110458.130375,12156960000.0,23760000.0,995328000.0,13176048000.0,13689666362.130375,0.087075,accelergy,cacti,configs/cacti_sram_45nm.csv,6.5870750000000005,4.60835,4,45.0,1.14182,0.729013,270.818,0.82173726504,160.0,160.0,4.614644999999999,0.0,13.689666362130374,63.172950429673115,0.4106899908639113,100,True,0.13689666362130373
